tip1	tip2	taxid1	taxid2	distance
g__48381	g__816	48381	816	0.066492
g__48381	g__237	48381	237	0.066492
g__816	g__237	816	237	2e-6
g__237	g__816	237	816	2e-6
g__192992	g__1883	192992	1883	2e-6
g__1883	g__192992	1883	192992	2e-6
g__187	g__192992	187	192992	0.044472
g__187	g__1883	187	1883	0.044472
g__476278	g__482	476278	482	0.012812
g__476278	g__413	476278	413	0.012812
g__482	g__413	482	413	2e-6
g__413	g__482	413	482	2e-6
g__45247	g__482	45247	482	0.005802
g__45247	g__413	45247	413	0.005802
g__613	g__2716544	613	2716544	0.023092
g__579	g__3021684	579	3021684	2e-6
g__579	g__3016631	579	3016631	2e-6
g__579	g__83654	579	83654	2e-6
g__579	g__570	579	570	2e-6
g__579	g__547	579	547	2e-6
g__579	g__544	579	544	2e-6
g__579	g__53335	579	53335	2e-6
g__3021684	g__579	3021684	579	2e-6
g__3021684	g__3016631	3021684	3016631	2e-6
g__3021684	g__83654	3021684	83654	2e-6
g__3021684	g__570	3021684	570	2e-6
g__3021684	g__547	3021684	547	2e-6
g__3021684	g__544	3021684	544	2e-6
g__3021684	g__53335	3021684	53335	2e-6
g__3016631	g__579	3016631	579	2e-6
g__3016631	g__3021684	3016631	3021684	2e-6
g__3016631	g__83654	3016631	83654	2e-6
g__3016631	g__570	3016631	570	2e-6
g__3016631	g__547	3016631	547	2e-6
g__3016631	g__544	3016631	544	2e-6
g__3016631	g__53335	3016631	53335	2e-6
g__83654	g__579	83654	579	2e-6
g__83654	g__3021684	83654	3021684	2e-6
g__83654	g__3016631	83654	3016631	2e-6
g__83654	g__570	83654	570	2e-6
g__83654	g__547	83654	547	2e-6
g__83654	g__544	83654	544	2e-6
g__83654	g__53335	83654	53335	2e-6
g__570	g__579	570	579	2e-6
g__570	g__3021684	570	3021684	2e-6
g__570	g__3016631	570	3016631	2e-6
g__570	g__83654	570	83654	2e-6
g__570	g__547	570	547	2e-6
g__570	g__544	570	544	2e-6
g__570	g__53335	570	53335	2e-6
g__547	g__579	547	579	2e-6
g__547	g__3021684	547	3021684	2e-6
g__547	g__3016631	547	3016631	2e-6
g__547	g__83654	547	83654	2e-6
g__547	g__570	547	570	2e-6
g__547	g__544	547	544	2e-6
g__547	g__53335	547	53335	2e-6
g__544	g__579	544	579	2e-6
g__544	g__3021684	544	3021684	2e-6
g__544	g__3016631	544	3016631	2e-6
g__544	g__83654	544	83654	2e-6
g__544	g__570	544	570	2e-6
g__544	g__547	544	547	2e-6
g__544	g__53335	544	53335	2e-6
g__53335	g__579	53335	579	2e-6
g__53335	g__3021684	53335	3021684	2e-6
g__53335	g__3016631	53335	3016631	2e-6
g__53335	g__83654	53335	83654	2e-6
g__53335	g__570	53335	570	2e-6
g__53335	g__547	53335	547	2e-6
g__53335	g__544	53335	544	2e-6
g__1330547	Kosakonia_oryzendophytica-_-JF795011--_REICA_082_T	1330547	1005665	0.011961
g__590	Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	590	59204	0.009741
Salmonella_enterica_subsp._enterica-_-AE006468--_LT2_T	Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	99287	59204	0.01389
Salmonella_enterica_subsp._arizonae-_-AF008580--_ATCC_13314_T	Salmonella_enterica_subsp._indica-_-EU014680--_DSM_14848_T	59203	59207	0.01826
Klebsiella_indica-_-MK942857--_TOUT106_T	Salmonella_enterica_subsp._indica-_-EU014680--_DSM_14848_T	576	59207	0.02659
Salmonella_enterica_subsp._indica-_-EU014680--_DSM_14848_T	Salmonella_enterica_subsp._houtenae-_-EU014684--_DSM_9221_T	59207	59205	0.01684
Salmonella_enterica_subsp._houtenae-_-EU014684--_DSM_9221_T	Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	59205	59204	0.0139
Salmonella_enterica_subsp._salamae-_-EU014685--_DSM_9220_T	Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	59202	59204	0.00835
Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	Salmonella_enterica_subsp._salamae-_-EU014685--_DSM_9220_T	59204	59202	0.00835
g__451512	Mangrovibacter_phragmitis-_-KP319034--_MP23_T	451512	1691903	7.31e-4
Mangrovibacter_plantisponsor-_-EF643377--_MSSRF40_T	g__451512	451513	451512	0.004171
Mangrovibacter_phragmitis-_-KP319034--_MP23_T	g__451512	1691903	451512	7.31e-4
Mangrovibacter_yixingensis-_-KM089834--_TULL-A_T	g__451512	1529639	451512	0.004161
g__158851	Trabulsiella_guamensis-_-AB681979--_NBRC_103172_T	158851	158852	0.008331
Trabulsiella_guamensis-_-AB681979--_NBRC_103172_T	g__158851	158852	158851	0.008331
Trabulsiella_odontotermitis-_-DQ453129--_Eant_3-9_T	g__158851	379893	158851	0.00835099999999999
Enterobacillus_tribolii-_-HG972968--_IG-V01_T	g__1822002	1487935	1822002	2e-6
g__1822002	Enterobacillus_tribolii-_-HG972968--_IG-V01_T	1822002	1487935	2e-6
Salmonella_bongori-_-AF029227--_BR_1859_T	g__590	54736	590	0.029901
g__620	g__561	620	561	2e-6
g__561	g__620	561	620	2e-6
Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	585054	623	0.00556
Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	Shigella_sonnei-_-FR870445--_CECT_4887_T	585054	624	0.00556
Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	623	585054	0.00556
Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	Shigella_sonnei-_-FR870445--_CECT_4887_T	623	624	0.00556
Escherichia_coli-_-X80725--_ATCC_11775T_T	Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	866789	585054	0.0063
Escherichia_coli-_-X80725--_ATCC_11775T_T	Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	866789	623	0.0063
Escherichia_coli-_-X80725--_ATCC_11775T_T	Shigella_sonnei-_-FR870445--_CECT_4887_T	866789	624	0.0063
Shigella_sonnei-_-FR870445--_CECT_4887_T	Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	624	585054	0.00556
Shigella_sonnei-_-FR870445--_CECT_4887_T	Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	624	623	0.00556
Shigella_dysenteriae-_-X96966--_ATCC_13313_LTP__T	Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	622	585054	0.01250999999999999
Shigella_dysenteriae-_-X96966--_ATCC_13313_LTP__T	Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	622	623	0.01250999999999999
Shigella_dysenteriae-_-X96966--_ATCC_13313_LTP__T	Shigella_sonnei-_-FR870445--_CECT_4887_T	622	624	0.01250999999999999
Escherichia_marmotae-_-KJ787692--_HT073016_T	Escherichia_ruysiae-_-LR745848--_OPT1704_T	1499973	2608867	0.0125
Escherichia_ruysiae-_-LR745848--_OPT1704_T	Escherichia_marmotae-_-KJ787692--_HT073016_T	2608867	1499973	0.0125
Escherichia_albertii-_-AJ508775--_LMG_20976_T	g__620	1115511	620	0.011101
Escherichia_albertii-_-AJ508775--_LMG_20976_T	g__561	1115511	561	0.011101
Shigella_boydii-_-HF558388--_P288_T	g__620	621	620	0.002781
Shigella_boydii-_-HF558388--_P288_T	g__561	621	561	0.002781
Intestinirhabdus_alba-_-MK734184--_BIT-B35_T	g__2899543	2899544	2899543	2e-6
g__2899543	Intestinirhabdus_alba-_-MK734184--_BIT-B35_T	2899543	2899544	2e-6
Citrobacter_koseri-_-HQ992945--_LMG_5519_T	g__590	545	590	0.020201
Citrobacter_amalonaticus-_-FR870441--_CECT_863_T	Citrobacter_farmeri-_-AF025371--_CDC_2991-81_T	35703	67824	0.00347
Citrobacter_farmeri-_-AF025371--_CDC_2991-81_T	Citrobacter_amalonaticus-_-FR870441--_CECT_863_T	67824	35703	0.00347
Citrobacter_telavivensis-_-MN603664--_NMI7904_11_T	Citrobacter_farmeri-_-AF025371--_CDC_2991-81_T	2653932	67824	0.00832999999999999
Citrobacter_rodentium-_-AF025363--_CDC_1843-73_T	Citrobacter_sedlakii-_-AF025364--_CDC_4696-86_T	67825	67826	0.01598
Citrobacter_sedlakii-_-AF025364--_CDC_4696-86_T	Citrobacter_rodentium-_-AF025363--_CDC_1843-73_T	67826	67825	0.01598
Kosakonia_cowanii-_-AJ508303--_CIP_107300_T	g__1903434	208223	1903434	0.012721
g__1903434	Escherichia_hermannii-_-AB682276--_NBRC_105704_T	1903434	565	0.003471
Escherichia_hermannii-_-AB682276--_NBRC_105704_T	g__1903434	565	1903434	0.003471
Salmonella_subterranea-_-AY373829--_FRCl_T	g__1903434	255519	1903434	0.011751
Klebsiella_pneumoniae_subsp._pneumoniae-_-X87276--_DSM_30104_T_T	Klebsiella_variicola_subsp._variicola-_-CP010523--_DSM_15968_n_T	573	244366	0.00208
Klebsiella_variicola_subsp._variicola-_-CP010523--_DSM_15968_n_T	Klebsiella_pneumoniae_subsp._pneumoniae-_-X87276--_DSM_30104_T_T	244366	573	0.00208
Klebsiella_granulomatis-_-AF009171--_no_culture_T	Klebsiella_pneumoniae_subsp._pneumoniae-_-X87276--_DSM_30104_T_T	39824	573	0.01408
Klebsiella_quasipneumoniae_subsp._similipneumoniae-_-HG933295--_07A044_T	Klebsiella_pneumoniae_subsp._rhinoscleromatis-_-Y17657--_ATCC13884T_T	1463164	573	0.00418
Klebsiella_africana-_-MK040622--_SB5857_T	Klebsiella_quasipneumoniae_subsp._quasipneumoniae-_-HG933296--_01A030_T	2489010	1667327	0.00209
Klebsiella_quasipneumoniae_subsp._quasipneumoniae-_-HG933296--_01A030_T	Klebsiella_africana-_-MK040622--_SB5857_T	1667327	2489010	0.00209
Klebsiella_pneumoniae_subsp._ozaenae-_-AF130982--_ATCC11296_T	Klebsiella_quasipneumoniae_subsp._quasipneumoniae-_-HG933296--_01A030_T	574	1667327	0.0057
Klebsiella_variicola_subsp._tropica-_-MK040621--_SB5531_T	Klebsiella_pneumoniae_subsp._rhinoscleromatis-_-Y17657--_ATCC13884T_T	573	573	0.00348
