tip1	tip2	distance
g__48381	g__816	0.066492
g__48381	g__237	0.066492
g__816	g__237	2e-6
g__192992	g__1883	2e-6
g__187	g__192992	0.044472
g__187	g__1883	0.044472
g__476278	g__482	0.012812
g__476278	g__413	0.012812
g__482	g__413	2e-6
g__45247	g__482	0.005802
g__45247	g__413	0.005802
g__613	g__2716544	0.023092
g__579	g__3021684	2e-6
g__579	g__3016631	2e-6
g__579	g__83654	2e-6
g__579	g__570	2e-6
g__579	g__547	2e-6
g__579	g__544	2e-6
g__579	g__53335	2e-6
g__3021684	g__3016631	2e-6
g__3021684	g__83654	2e-6
g__3021684	g__570	2e-6
g__3021684	g__547	2e-6
g__3021684	g__544	2e-6
g__3021684	g__53335	2e-6
g__3016631	g__83654	2e-6
g__3016631	g__570	2e-6
g__3016631	g__547	2e-6
g__3016631	g__544	2e-6
g__3016631	g__53335	2e-6
g__83654	g__570	2e-6
g__83654	g__547	2e-6
g__83654	g__544	2e-6
g__83654	g__53335	2e-6
g__570	g__547	2e-6
g__570	g__544	2e-6
g__570	g__53335	2e-6
g__547	g__544	2e-6
g__547	g__53335	2e-6
g__544	g__53335	2e-6
g__1330547	Kosakonia_oryzendophytica-_-JF795011--_REICA_082_T	0.011961
g__590	Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	0.009741000000000001
Salmonella_enterica_subsp._enterica-_-AE006468--_LT2_T	Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	0.013890000000000001
Salmonella_enterica_subsp._arizonae-_-AF008580--_ATCC_13314_T	Salmonella_enterica_subsp._indica-_-EU014680--_DSM_14848_T	0.018260000000000002
Klebsiella_indica-_-MK942857--_TOUT106_T	Salmonella_enterica_subsp._indica-_-EU014680--_DSM_14848_T	0.02659
Salmonella_enterica_subsp._indica-_-EU014680--_DSM_14848_T	Salmonella_enterica_subsp._houtenae-_-EU014684--_DSM_9221_T	0.01684
Salmonella_enterica_subsp._houtenae-_-EU014684--_DSM_9221_T	Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	0.013900000000000001
Salmonella_enterica_subsp._salamae-_-EU014685--_DSM_9220_T	Salmonella_enterica_subsp._diarizonae-_-EU014688--_DSM_14847_T	0.00835
g__451512	Mangrovibacter_phragmitis-_-KP319034--_MP23_T	7.31e-4
Mangrovibacter_plantisponsor-_-EF643377--_MSSRF40_T	g__451512	0.004171
Mangrovibacter_yixingensis-_-KM089834--_TULL-A_T	g__451512	0.004161
g__158851	Trabulsiella_guamensis-_-AB681979--_NBRC_103172_T	0.008331
Trabulsiella_odontotermitis-_-DQ453129--_Eant_3-9_T	g__158851	0.008350999999999999
Enterobacillus_tribolii-_-HG972968--_IG-V01_T	g__1822002	2e-6
Salmonella_bongori-_-AF029227--_BR_1859_T	g__590	0.029901
g__620	g__561	2e-6
Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	0.00556
Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	Shigella_sonnei-_-FR870445--_CECT_4887_T	0.00556
Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	Shigella_sonnei-_-FR870445--_CECT_4887_T	0.00556
Escherichia_coli-_-X80725--_ATCC_11775T_T	Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	0.0063
Escherichia_coli-_-X80725--_ATCC_11775T_T	Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	0.0063
Escherichia_coli-_-X80725--_ATCC_11775T_T	Shigella_sonnei-_-FR870445--_CECT_4887_T	0.0063
Shigella_dysenteriae-_-X96966--_ATCC_13313_LTP__T	Escherichia_fergusonii-_-AF530475--_ATCC_35469_T	0.012509999999999999
Shigella_dysenteriae-_-X96966--_ATCC_13313_LTP__T	Shigella_flexneri-_-X96963--_ATCC_29903_LTP__T	0.012509999999999999
Shigella_dysenteriae-_-X96966--_ATCC_13313_LTP__T	Shigella_sonnei-_-FR870445--_CECT_4887_T	0.012509999999999999
Escherichia_marmotae-_-KJ787692--_HT073016_T	Escherichia_ruysiae-_-LR745848--_OPT1704_T	0.0125
Escherichia_albertii-_-AJ508775--_LMG_20976_T	g__620	0.011101
Escherichia_albertii-_-AJ508775--_LMG_20976_T	g__561	0.011101
Shigella_boydii-_-HF558388--_P288_T	g__620	0.002781
Shigella_boydii-_-HF558388--_P288_T	g__561	0.002781
Intestinirhabdus_alba-_-MK734184--_BIT-B35_T	g__2899543	2e-6
Citrobacter_koseri-_-HQ992945--_LMG_5519_T	g__590	0.020201
Citrobacter_amalonaticus-_-FR870441--_CECT_863_T	Citrobacter_farmeri-_-AF025371--_CDC_2991-81_T	0.00347
Citrobacter_telavivensis-_-MN603664--_NMI7904_11_T	Citrobacter_farmeri-_-AF025371--_CDC_2991-81_T	0.008329999999999999
Citrobacter_rodentium-_-AF025363--_CDC_1843-73_T	Citrobacter_sedlakii-_-AF025364--_CDC_4696-86_T	0.01598
Kosakonia_cowanii-_-AJ508303--_CIP_107300_T	g__1903434	0.012721
g__1903434	Escherichia_hermannii-_-AB682276--_NBRC_105704_T	0.003471
Salmonella_subterranea-_-AY373829--_FRCl_T	g__1903434	0.011751
Klebsiella_pneumoniae_subsp._pneumoniae-_-X87276--_DSM_30104_T_T	Klebsiella_variicola_subsp._variicola-_-CP010523--_DSM_15968_n_T	0.00208
Klebsiella_granulomatis-_-AF009171--_no_culture_T	Klebsiella_pneumoniae_subsp._pneumoniae-_-X87276--_DSM_30104_T_T	0.01408
Klebsiella_quasipneumoniae_subsp._similipneumoniae-_-HG933295--_07A044_T	Klebsiella_pneumoniae_subsp._rhinoscleromatis-_-Y17657--_ATCC13884T_T	0.00418
Klebsiella_africana-_-MK040622--_SB5857_T	Klebsiella_quasipneumoniae_subsp._quasipneumoniae-_-HG933296--_01A030_T	0.00209
Klebsiella_pneumoniae_subsp._ozaenae-_-AF130982--_ATCC11296_T	Klebsiella_quasipneumoniae_subsp._quasipneumoniae-_-HG933296--_01A030_T	0.0057
Klebsiella_variicola_subsp._tropica-_-MK040621--_SB5531_T	Klebsiella_pneumoniae_subsp._rhinoscleromatis-_-Y17657--_ATCC13884T_T	0.00348
Enterobacter_cloacae_subsp._cloacae-_-AJ251469--_ATCC13047T_T	Enterobacter_cloacae-_-AJ417484--_ATCC_13047_T	2e-5
Enterobacter_cloacae_subsp._dissolvens-_-HQ651841--_ATCC_23373_T	Enterobacter_cloacae_subsp._cloacae-_-AJ251469--_ATCC13047T_T	0.00418
Enterobacter_cloacae_subsp._dissolvens-_-HQ651841--_ATCC_23373_T	Enterobacter_cloacae-_-AJ417484--_ATCC_13047_T	0.00418
Enterobacter_siamensis-_-HQ888848--_C2361_T	Enterobacter_cloacae_subsp._dissolvens-_-HQ651841--_ATCC_23373_T	0.026
Kosakonia_radicincitans-_-CP018016--_DSM_16656_T	Kosakonia_oryzae-_-EF488759--_Ola_51_T	0.00556
Kosakonia_oryziphila-_-JF795013--_REICA_142_T	Kosakonia_arachidis-_-EU672801--_Ah-143_T	0.010700000000000001
Kosakonia_sacchari-_-JQ001784--_SP1_T	Kosakonia_pseudosacchari-_-KP345901--_JM-387_T	0.0098
Kosakonia_quasisacchari-_-MK567956--_WCHEs120001_T	g__1330547	0.017391
g__447792	Phytobacter_ursingii-_-FJ611881--_ATCC_27989_T	0.007071
g__1649298	Siccibacter_colletis-_-LK054215--_1383_T	0.012851
Siccibacter_turicensis-_-DQ273681--_LMG_23730_T	g__1649298	0.016831000000000002
Phytobacter_massiliensis-_-JN657217--_JC163_T	Phytobacter_palmae-_-KX893413--_S29_T	0.018799999999999997
Phytobacter_palmae-_-KX893413--_S29_T	g__447792	0.014611
Phytobacter_diazotrophicus-_-DQ821583--_LS_8_T	g__447792	0.018231
Citrobacter_youngae-_-AB273741--_GTC_1314_T	g__1330547	0.017431000000000002
Enterobacter_oligotrophicus-_-LC368255--_CCA6_T	g__1330547	0.024001
g__413496	Cronobacter_malonaticus-_-AJKV01000019--_LMG_23826_T	0.011800999999999999
Cronobacter_dublinensis_subsp._dublinensis-_-MF118666--_DSM_18705_T	Cronobacter_dublinensis_subsp._lausannensis-_-EF059841--_E515_T	0.02223
Cronobacter_dublinensis_subsp._lactaridi-_-EF059838--_E464_T	Cronobacter_dublinensis_subsp._lausannensis-_-EF059841--_E515_T	7.4e-4
Cronobacter_universalis-_-EF059877--_E797-_NCTC_9529_T	Cronobacter_turicensis-_-EF059891--_z3032_T	0.00488
Cronobacter_muytjensii-_-AJKU01000067--_ATCC_51329_T	g__413496	0.020881
Cronobacter_condimenti-_-CAKW01000111--_1330_T	g__413496	0.025051
Cronobacter_sakazakii-_-EF088379--_ATCC_29544_T	Cronobacter_malonaticus-_-AJKV01000019--_LMG_23826_T	0.00277
g__1649295	Franconibacter_helveticus-_-DQ273688--_LMG_23732_T	0.013670999999999999
Franconibacter_pulveris-_-DQ273684--_601/05_T	g__1649295	0.016551
Franconibacter_daqui-_-KX865161--_DL503_T	g__1649295	0.014611
g__1335483	Shimwellia_blattae-_-CP001560--_DSM_4481_T	0.008341
Shimwellia_pseudoproteus-_-FJ267523--_521_T	g__1335483	0.013371
Tenebrionibacter_intestinalis-_-MW411192--_BIT-L3_T	g__2918836	2e-6
Tenebrionicola_larvae-_-MW680835--_YMB-R21_T	g__2943312	2e-6
